GeneID	WT_na1	WT_na2	11_WT_na_CD8	dKO_na1	12_dKO_na_CD8
ID_622	31	68	63	41	88
ID_623	19	72	71	72	82
ID_624	10	36	24	20	26
ID_625	24	67	53	36	55
ID_626	35	54	61	40	51
ID_627	258	600	576	368	496
ID_628	30	64	44	32	58
ID_629	13	42	25	17	23
ID_630	54	141	122	66	107
ID_631	46	110	84	52	82
ID_632	8	32	20	16	22
ID_633	71	138	152	96	124
ID_634	20	41	37	23	16
ID_635	23	57	63	47	41
ID_636	110	227	197	147	146
ID_637	47	80	70	34	21
ID_638	22	62	66	30	68
ID_639	24	54	39	36	53
ID_640	39	87	83	50	67
ID_641	30	50	64	40	73
ID_642	25	71	56	43	76
ID_643	59	166	138	99	136
ID_644	16	45	34	27	46
ID_645	16	20	38	28	98
ID_646	96	197	172	116	130
ID_647	7	14	10	13	27
ID_648	19	37	32	21	31
ID_649	31	60	82	19	45
ID_650	57	87	116	69	133
ID_651	15	33	22	29	42
ID_652	13	13	19	12	30
ID_653	15	37	52	32	42
ID_654	28	58	55	54	73
ID_655	11	27	31	16	24
ID_656	33	61	60	51	66
ID_657	22	50	39	28	56
ID_658	21	23	31	26	28
ID_659	13	45	28	48	34
ID_660	22	64	64	46	45
ID_661	17	54	58	27	42
ID_662	25	55	59	30	49
ID_663	40	133	126	84	153
ID_664	29	71	94	45	72
ID_665	16	44	25	22	19
ID_666	10	26	31	11	31
ID_667	31	54	72	21	46
ID_668	50	74	70	37	47
ID_669	11	22	51	15	18
ID_670	21	50	53	32	69
ID_671	19	21	53	12	15
ID_672	26	31	49	7	7
ID_673	15	28	38	21	17
ID_674	17	71	38	32	32
ID_675	10	40	36	22	33
ID_676	12	33	22	23	17
ID_677	6	9	18	17	20
ID_678	5	22	7	20	7
ID_679	21	26	40	31	30
ID_680	17	37	45	20	38
ID_681	18	29	37	23	50
ID_682	33	57	76	61	77
ID_683	53	99	111	87	116
ID_684	10	17	36	11	17
ID_685	7	24	20	13	15
ID_686	15	30	32	21	22
ID_687	7	9	21	8	15
