Name	Description	Control	Treatment
MID1IP1-AS1	13458	2.44069282296911	2.03962567775157
MID2	13459	1.46471051205578	1.01743546567817
MIP	13481	0.975982310913331	1.01743546567817
MIR1-1HG	13486	0.487254109770885	0.0
MIR143HG	13665	0.488728201142446	0.0
MIR202HG	13751	0.488728201142446	0.0
MIR223	13791	0.488728201142446	0.511095106036702
MIR497HG	14596	0.487254109770885	0.508717732839083
MIR646HG	14967	11.7103136395884	11.7219042140775
MKRN7P	15403	0.488728201142446	0.508717732839083
MKX	15406	0.488728201142446	0.0
MMACHC	15437	44.8863417537839	45.3733505237808
MNX1-AS1	15481	0.488728201142446	0.0
MOCOS	15491	0.977456402284892	1.01981283887579
MOCS1	15492	6.34462206662243	6.63234951248903
MORC1	15504	0.975982310913331	0.511095106036702
MORN3	15514	3.41667513388244	3.56577887626882
MOSPD3	15520	42.4544934790441	42.8392713523758
MPV17L	15554	105.419356400984	105.561327003033
MRAS	15563	16.5931733768982	16.3122506756173
MRGPRE	15572	0.97450821954177	0.511095106036702
MRGPRF	15573	0.488728201142446	0.511095106036702
MROH7	15590	2.43774464022599	2.54834341059065
MROH7-TTC4	15591	1.46323642068422	1.01981283887579
MRPL23-AS1	15610	3.90245515228176	3.57053362266406
MRPL32	15616	200.082270102719	199.873806926863
MRVI1-AS1	15680	0.487254109770885	0.0
MS4A4A	15690	10.7343313286751	11.215563854436
MSANTD1	15696	0.97450821954177	1.01981283887579
MSC-AS1	15702	0.97450821954177	0.508717732839083
MSH4	15706	2.43921873159755	2.54834341059065
MSI1	15710	0.487254109770885	0.0
MSL3P1	15715	42.4544934790441	42.3257988731415
MSLN	15716	0.487254109770885	0.0
MT1H	15743	5.85294568273686	6.12125440645233
MT1L	15747	0.488728201142446	0.0
MTMR11	15790	2.43774464022599	2.04200305094919
MTMR9LP	15800	2.92942102411155	2.55309815698589
MTTP	15824	0.975982310913331	0.508717732839083
MUC15	15836	0.488728201142446	0.0
MUC16	15837	0.975982310913331	0.508717732839083
MUC4	15845	0.488728201142446	0.508717732839083
MUC5AC	15846	0.488728201142446	0.0
MUC6	15848	1.46471051205578	1.52615319851725
MYCBP	15887	13.1779723343873	12.7488491725461
MYCNOS	15893	0.488728201142446	0.0
MYH4	15912	0.487254109770885	0.0
MYH6	15913	0.975982310913331	0.511095106036702
MYLK-AS1	15933	5.37306202982378	5.09906419437893
MYLPF	15938	2.92794693273999	3.05943851662736
MYOM3	15973	0.487254109770885	0.0
MYOZ1	15975	0.487254109770885	0.0
MYT1	15984	1.46471051205578	1.01981283887579
