GeneID	logFC	logCPM	F	PValue	FDR
ID_20507	0.0132342036552163	3.39828613922666	0.000442905965459303	0.983209640257592	1
ID_4593	0.00648751900975165	4.7815195453323	0.000442152536742966	0.983223925296218	1
ID_27096	0.00669669878351721	4.7390558243574	0.000442125638872872	0.983224435505933	1
ID_14461	-0.00428276456068053	6.01050065033913	0.000439492231550025	0.98327446244194	1
ID_12293	-0.00676292389488982	4.50732190821877	0.000425285827421183	0.983546967075919	1
ID_2001	-0.00860222669107904	3.89317083370155	0.000424000880089532	0.983571837739427	1
ID_12800	0.00610321058848378	4.96635124907653	0.000423023272558118	0.983590784983232	1
ID_16042	-0.00345475407705869	6.64716185665761	0.000421227830313299	0.983625640016164	1
ID_19086	0.0049635346775409	5.59180355988095	0.000420708324982488	0.983635739061717	1
ID_5304	-0.00761544422482027	4.22330023309671	0.000419631895700195	0.983656684433457	1
ID_19735	0.00662783382580336	4.64024037347292	0.000416455178068165	0.983718654813568	1
ID_16036	-0.0106733278107542	3.61463259749757	0.0004160849611449	0.983725892247122	1
ID_5872	0.00603196046661003	5.00847369959674	0.000415081167040371	0.983745531811614	1
ID_15541	0.00910564488804232	3.81051664142124	0.000402208895017265	0.983999519771245	1
ID_294	-0.00397802217893592	6.09041667059102	0.000399076517606247	0.984061938596494	1
ID_26105	0.00378442081600045	6.24134090300636	0.000392988658527058	0.984183956240739	1
